size pair1 stddev pair2 stddev pair3 stddev pair4 stddev 
32 2.209100e+03 9.257328e+02 2.114400e+03 9.055500e+02 2.082100e+03 9.123830e+02 2.149400e+03 1.225137e+03 
64 1.362900e+03 5.628934e+01 1.521300e+03 7.362072e+01 1.338100e+03 6.776496e+01 1.296900e+03 7.081730e+01 
128 1.376500e+03 1.398637e+02 1.504200e+03 3.693183e+01 1.478500e+03 3.393486e+02 1.657400e+03 1.095538e+03 
256 1.469800e+03 8.149699e+01 1.612000e+03 3.597777e+01 1.441100e+03 8.181986e+01 1.258400e+03 3.037170e+01 
512 1.466000e+03 6.559878e+01 1.607500e+03 5.177886e+01 1.451400e+03 5.618576e+01 1.286600e+03 6.688228e+01 
1024 1.507100e+03 6.078067e+01 1.599900e+03 5.839084e+01 1.404100e+03 7.812740e+01 1.288500e+03 7.711582e+01 
2048 1.509800e+03 1.004796e+02 1.648800e+03 5.890297e+01 1.556900e+03 3.165721e+02 1.281700e+03 6.986709e+01 
4096 1.555700e+03 1.322513e+02 1.675400e+03 7.997024e+01 1.509200e+03 6.994541e+01 1.328900e+03 3.696336e+01 
8192 1.483200e+03 1.101642e+02 1.652900e+03 7.524819e+01 1.576600e+03 1.623103e+02 1.291700e+03 6.193553e+01 
16384 1.570900e+03 7.582935e+01 1.730700e+03 5.485627e+01 1.603200e+03 9.374412e+01 1.414800e+03 9.740513e+01 
32768 1.716300e+03 6.461122e+01 1.870100e+03 9.697675e+01 1.721000e+03 1.144675e+02 1.516100e+03 9.626157e+01 
65536 1.871900e+03 1.218650e+02 2.116500e+03 2.681597e+02 1.821700e+03 1.332202e+02 1.647700e+03 1.250048e+02 
131072 2.150900e+03 9.231517e+01 2.360700e+03 1.076346e+02 2.204700e+03 1.471897e+02 2.148900e+03 9.334898e+02 
262144 2.488500e+03 2.077894e+02 3.093800e+03 2.665126e+02 2.591100e+03 2.571966e+02 2.393400e+03 1.989584e+02 
524288 3.289000e+03 3.066806e+02 3.778100e+03 2.685213e+02 3.265700e+03 2.234122e+02 2.914200e+03 3.960343e+02 
1048576 5.596100e+03 6.877499e+02 5.567800e+03 7.177339e+02 5.314200e+03 7.087997e+02 4.234500e+03 7.101489e+02 
2097152 9.178700e+03 1.280985e+03 9.053500e+03 1.616743e+03 7.842100e+03 1.122845e+03 8.796700e+03 2.111202e+03 
